EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,Display,Direction,Timestamp
-3832.43,-3859.79,-3860.24,-3857.55,-3846.65,-3819.56,-3857.11,-3835.47,-0.0266113,0.994873,0.242432,-1.06812,2.74658,0.640869,66.6667,65,1,Arrow,Left,787475
-3831.8,-3859.61,-3859.7,-3857.02,-3846.47,-3819.38,-3857.2,-3835.2,-0.0283203,0.995361,0.241943,-1.2207,2.7771,0.640869,66.6667,66,1,Arrow,Left,787598
-3831.8,-3858.98,-3858.98,-3856.84,-3846.38,-3818.93,-3856.66,-3835.47,-0.03125,0.99707,0.240723,-1.31226,2.80762,0.762939,66.6667,67,1,Arrow,Left,787719
-3831.36,-3858.81,-3858.45,-3856.12,-3845.84,-3818.66,-3856.57,-3834.75,-0.0300293,0.997314,0.241943,-1.40381,2.7771,0.732422,66.6667,68,1,Arrow,Left,787842
-3831.45,-3858.45,-3858.18,-3855.59,-3845.66,-3819.11,-3856.03,-3834.49,-0.0307617,0.995605,0.244385,-1.40381,2.74658,0.732422,66.6667,69,1,Arrow,Left,787964
-3831.27,-3858.45,-3857.55,-3855.41,-3845.48,-3819.2,-3855.77,-3834.49,-0.0302734,0.996582,0.244873,-1.49536,2.68555,0.793457,66.6667,70,1,Arrow,Left,788089
-3830.37,-3858,-3856.75,-3855.05,-3844.77,-3818.57,-3855.32,-3834.04,-0.0290527,0.99707,0.244141,-1.67847,2.53296,0.762939,66.6667,71,1,Arrow,Left,788211
-3830.37,-3857.82,-3856.84,-3855.05,-3844.5,-3818.21,-3855.14,-3833.86,-0.029541,0.995361,0.24292,-1.80054,2.56348,0.762939,66.6667,72,1,Arrow,Left,788333
-3830.37,-3857.02,-3856.84,-3854.42,-3844.5,-3818.3,-3854.51,-3833.41,-0.0305176,0.993896,0.244873,-1.95312,2.56348,0.854492,66.6667,73,1,Arrow,Left,788454
-3830.02,-3856.75,-3856.39,-3853.71,-3843.78,-3818.21,-3854.42,-3833.23,-0.0305176,0.996338,0.243408,-1.89209,2.47192,0.915527,66.6667,74,1,Arrow,Left,788574
